日時,プロダクト名,問題,X座標,Y座標
20250605101513,ガンダム,欠け,173,92
20250605101513,ガンダム,欠け,172,92
20250605101513,ガンダム,欠け,171,94
20250605101513,ガンダム,欠け,170,96
20250605101513,ガンダム,欠け,167,97
20250605101513,ガンダム,欠け,161,99
20250605101513,ガンダム,欠け,157,99
20250605101513,ガンダム,欠け,241,40
20250605101513,ガンダム,欠け,240,41
20250605101513,ガンダム,欠け,239,42
20250605101513,ガンダム,欠け,238,40
20250605101513,ガンダム,欠け,218,42
20250605101513,ガンダム,欠け,221,40
20250605101513,ガンダム,欠け,220,42
20250605101513,ガンダム,欠け,309,15
20250605101513,ガンダム,欠け,277,32
20250605101513,ガンダム,欠け,277,37
20250605101513,ガンダム,欠け,278,40
20250605101513,ガンダム,欠け,277,42
20250605101513,ガンダム,欠け,277,47
