日時,プロダクト名,問題,X座標,Y座標
20250605102133,ガンダム,欠け,149,80
20250605102133,ガンダム,欠け,145,80
20250605102133,ガンダム,欠け,141,80
20250605102133,ガンダム,欠け,141,84
20250605102133,ガンダム,欠け,141,87
20250605102133,ガンダム,欠け,142,93
20250605102133,ガンダム,欠け,145,92
20250605102133,ガンダム,欠け,142,91
20250605102133,ガンダム,欠け,140,92
20250605102133,ガンダム,欠け,138,92
20250605102133,ガンダム,欠け,136,92
20250605102133,ガンダム,欠け,135,92
20250605102133,ガンダム,欠け,129,90
20250605102133,ガンダム,欠け,129,93
20250605102133,ガンダム,欠け,131,92
20250605102133,ガンダム,欠け,140,98
20250605102133,ガンダム,欠け,147,104
20250605102133,ガンダム,欠け,142,104
20250605102133,ガンダム,欠け,138,103
20250605102133,ガンダム,欠け,133,102
20250605102133,ガンダム,欠け,155,36
20250605102133,ガンダム,欠け,158,43
20250605102133,ガンダム,欠け,243,41
20250605102133,ガンダム,欠け,231,64
20250605102133,ガンダム,欠け,229,65
