日時,プロダクト名,問題,X座標,Y座標
20250527173339,ガンダム,汚れ,136,53
20250527173339,ガンダム,汚れ,131,53
20250527173339,ガンダム,汚れ,127,53
20250527173339,ガンダム,汚れ,126,53
20250527173339,ガンダム,汚れ,126,55
20250527173339,ガンダム,汚れ,128,56
20250527173339,ガンダム,汚れ,128,55
20250527173339,ガンダム,汚れ,130,51
20250527173339,ガンダム,汚れ,129,50
20250527173339,ガンダム,汚れ,130,47
20250527173339,ガンダム,汚れ,136,48
20250527173339,ガンダム,汚れ,136,46
20250527173339,ガンダム,汚れ,137,44
20250527173339,ガンダム,汚れ,136,43
20250527173339,ガンダム,汚れ,137,41
20250527173339,ガンダム,汚れ,137,40
