日時,プロダクト名,問題,X座標,Y座標
20250527094431,ガンダム,ヒビ,117,123
20250527094431,ガンダム,ヒビ,111,123
20250527094431,ガンダム,ヒビ,124,120
20250527094431,ガンダム,ヒビ,127,121
20250527094431,ガンダム,ヒビ,128,123
20250527094431,ガンダム,ヒビ,132,124
20250527094431,ガンダム,ヒビ,134,124
20250527094431,ガンダム,ヒビ,137,122
20250527094431,ガンダム,ヒビ,156,150
20250527094431,ガンダム,ヒビ,156,153
20250527094431,ガンダム,ヒビ,154,157
20250527094431,ガンダム,ヒビ,155,164
20250527094431,ガンダム,ヒビ,194,36
20250527094431,ガンダム,ヒビ,193,32
20250527094431,ガンダム,ヒビ,195,28
20250527094431,ガンダム,ヒビ,200,27
20250527094431,ガンダム,ヒビ,205,30
20250527094431,ガンダム,ヒビ,206,31
20250527094431,ガンダム,ヒビ,206,34
